Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
1301,188.114.97.6,443,tls,ws,2.54058837890625,0.0,FAILED,Latency test failed
1302,188.114.97.6,443,tls,ws,2.54058837890625,0.0,FAILED,Latency test failed
1303,198.41.222.191,80,none,ws,2.541065216064453,0.0,FAILED,Latency test failed
1304,104.16.121.147,2096,tls,ws,2.542257308959961,0.0,FAILED,Latency test failed
1305,104.21.46.80,80,none,ws,2.542257308959961,0.0,FAILED,Latency test failed
1306,45.130.125.194,8443,tls,xhttp,2.542734146118164,0.0,FAILED,Latency test failed
1307,104.20.6.134,80,none,ws,2.5434494018554688,0.0,FAILED,Latency test failed
1308,45.130.125.158,443,tls,xhttp,2.547025680541992,0.0,FAILED,Latency test failed
1309,104.19.58.229,2096,tls,ws,2.5472640991210938,0.0,FAILED,Latency test failed
1310,45.130.125.192,8443,tls,xhttp,2.5479793548583984,0.0,FAILED,Latency test failed
1311,45.130.125.194,8443,tls,xhttp,2.5479793548583984,0.0,FAILED,Latency test failed
1312,188.114.97.6,2083,tls,ws,2.5484561920166016,0.0,FAILED,Latency test failed
1313,45.130.125.2,2053,tls,xhttp,2.5489330291748047,0.0,FAILED,Latency test failed
1314,45.85.119.120,2083,tls,grpc,2.5496482849121094,0.0,FAILED,Latency test failed
1315,45.130.125.76,2096,tls,grpc,2.5501251220703125,0.0,FAILED,Latency test failed
1316,188.114.97.6,8443,tls,ws,2.550840377807617,0.0,FAILED,Latency test failed
1317,45.130.125.194,8443,tls,xhttp,2.5529861450195312,0.0,FAILED,Latency test failed
1318,188.114.97.6,443,tls,ws,2.553701400756836,0.0,FAILED,Latency test failed
1319,104.21.38.220,80,none,ws,2.554655075073242,0.0,FAILED,Latency test failed
1320,188.114.97.6,80,none,xhttp,2.5577545166015625,0.0,FAILED,Latency test failed
1321,45.130.125.193,8443,tls,xhttp,2.5587081909179688,0.0,FAILED,Latency test failed
1322,104.26.0.7,443,tls,ws,2.559185028076172,0.0,FAILED,Latency test failed
1323,104.16.7.70,2096,tls,ws,2.562999725341797,0.0,FAILED,Latency test failed
1324,172.67.183.230,443,none,tcp,2.5634765625,0.0,FAILED,Latency test failed
1325,188.114.97.6,2087,tls,ws,2.567291259765625,0.0,FAILED,Latency test failed
1326,8.39.125.32,8443,tls,ws,2.567768096923828,0.0,FAILED,Latency test failed
1327,104.20.5.134,80,none,ws,2.5691986083984375,0.0,FAILED,Latency test failed
1328,104.16.7.70,8443,tls,ws,2.5703907012939453,0.0,FAILED,Latency test failed
1329,45.130.125.194,8443,tls,xhttp,2.5725364685058594,0.0,FAILED,Latency test failed
1330,104.19.208.184,8443,tls,ws,2.572774887084961,0.0,FAILED,Latency test failed
1331,172.67.215.240,80,none,ws,2.5730133056640625,0.0,FAILED,Latency test failed
1332,104.16.7.70,2096,none,tcp,2.5734901428222656,0.0,FAILED,Latency test failed
1333,172.66.47.69,443,tls,ws,2.573728561401367,0.0,FAILED,Latency test failed
1334,188.95.12.110,8080,none,ws,2.5756359100341797,0.0,FAILED,Latency test failed
1335,104.17.121.71,443,tls,xhttp,2.5780200958251953,0.0,FAILED,Latency test failed
1336,188.114.98.0,443,tls,ws,2.5787353515625,0.0,FAILED,Latency test failed
1337,45.130.125.194,8443,tls,xhttp,2.5801658630371094,0.0,FAILED,Latency test failed
1338,104.16.72.251,443,tls,ws,2.5806427001953125,0.0,FAILED,Latency test failed
1339,104.16.7.70,443,tls,xhttp,2.5811195373535156,0.0,FAILED,Latency test failed
1340,188.114.98.0,443,tls,ws,2.583742141723633,0.0,FAILED,Latency test failed
1341,104.21.60.171,443,none,tcp,2.584218978881836,0.0,FAILED,Latency test failed
1342,104.18.155.229,443,tls,ws,2.587556838989258,0.0,FAILED,Latency test failed
1343,104.18.12.149,443,none,tcp,2.5887489318847656,0.0,FAILED,Latency test failed
1344,104.18.13.229,8880,none,ws,2.5892257690429688,0.0,FAILED,Latency test failed
1345,45.130.125.194,8443,tls,xhttp,2.590179443359375,0.0,FAILED,Latency test failed
1346,172.66.44.211,8880,none,ws,2.5908946990966797,0.0,FAILED,Latency test failed
1347,104.16.119.47,443,tls,ws,2.5916099548339844,0.0,FAILED,Latency test failed
1348,104.18.154.43,2053,tls,xhttp,2.591848373413086,0.0,FAILED,Latency test failed
1349,45.85.118.1,2087,tls,grpc,2.5925636291503906,0.0,FAILED,Latency test failed
1350,45.130.125.194,8443,tls,xhttp,2.5970935821533203,0.0,FAILED,Latency test failed
1351,::ffff:104.17.110.12,443,tls,ws,2.599477767944336,0.0,FAILED,Latency test failed
1352,104.16.219.215,443,tls,ws,2.599477767944336,0.0,FAILED,Latency test failed
1353,89.116.46.68,443,tls,ws,2.599954605102539,0.0,FAILED,Latency test failed
1354,45.130.125.160,443,none,tcp,2.601146697998047,0.0,FAILED,Latency test failed
1355,45.130.125.162,8443,tls,xhttp,2.6018619537353516,0.0,FAILED,Latency test failed
1356,199.232.0.177,443,none,ws,2.6025772094726562,0.0,FAILED,Latency test failed
1357,188.114.97.6,443,tls,xhttp,2.6030540466308594,0.0,FAILED,Latency test failed
1358,172.67.183.103,8880,none,ws,2.6051998138427734,0.0,FAILED,Latency test failed
1359,45.130.125.162,8443,tls,xhttp,2.6056766510009766,0.0,FAILED,Latency test failed
1360,172.67.74.10,443,tls,ws,2.6061534881591797,0.0,FAILED,Latency test failed
1361,141.101.90.39,443,tls,ws,2.606630325317383,0.0,FAILED,Latency test failed
1362,104.16.7.70,443,tls,ws,2.606630325317383,0.0,FAILED,Latency test failed
1363,104.21.64.1,8080,none,ws,2.6085376739501953,0.0,FAILED,Latency test failed
1364,104.26.0.7,443,tls,ws,2.608776092529297,0.0,FAILED,Latency test failed
1365,104.18.32.47,443,tls,ws,2.608776092529297,0.0,FAILED,Latency test failed
1366,188.114.98.0,443,tls,ws,2.610921859741211,0.0,FAILED,Latency test failed
1367,104.16.11.133,80,none,httpupgrade,2.612590789794922,0.0,FAILED,Latency test failed
1368,45.131.4.173,8443,tls,xhttp,2.6140213012695312,0.0,FAILED,Latency test failed
1369,104.18.152.233,443,tls,xhttp,2.6149749755859375,0.0,FAILED,Latency test failed
1370,45.130.125.162,8443,tls,xhttp,2.6166439056396484,0.0,FAILED,Latency test failed
1371,104.20.6.134,2096,tls,ws,2.6171207427978516,0.0,FAILED,Latency test failed
1372,104.16.7.70,2095,none,tcp,2.6192665100097656,0.0,FAILED,Latency test failed
1373,45.130.125.194,8443,tls,xhttp,2.6197433471679688,0.0,FAILED,Latency test failed
1374,45.130.125.194,8443,tls,xhttp,2.6199817657470703,0.0,FAILED,Latency test failed
1375,45.130.125.162,8443,tls,xhttp,2.620220184326172,0.0,FAILED,Latency test failed
1376,188.114.98.224,8443,tls,grpc,2.6209354400634766,0.0,FAILED,Latency test failed
1377,69.84.182.20,443,tls,ws,2.6226043701171875,0.0,FAILED,Latency test failed
1378,188.114.97.6,443,tls,ws,2.623319625854492,0.0,FAILED,Latency test failed
1379,162.159.194.86,2053,tls,ws,2.62451171875,0.0,FAILED,Latency test failed
1380,45.130.125.162,8443,tls,xhttp,2.625703811645508,0.0,FAILED,Latency test failed
1381,141.193.213.21,443,tls,xhttp,2.626180648803711,0.0,FAILED,Latency test failed
1382,89.116.46.68,443,tls,ws,2.626180648803711,0.0,FAILED,Latency test failed
1383,188.114.97.6,2096,tls,grpc,2.6280879974365234,0.0,FAILED,Latency test failed
1384,45.130.125.76,2096,tls,grpc,2.6330947875976562,0.0,FAILED,Latency test failed
1385,45.130.125.194,8443,tls,xhttp,2.6352405548095703,0.0,FAILED,Latency test failed
1386,188.114.97.3,443,tls,ws,2.635478973388672,0.0,FAILED,Latency test failed
1387,172.64.147.175,80,none,ws,2.6361942291259766,0.0,FAILED,Latency test failed
1388,45.130.125.162,8443,tls,xhttp,2.637624740600586,0.0,FAILED,Latency test failed
1389,172.67.151.222,80,none,ws,2.6395320892333984,0.0,FAILED,Latency test failed
1390,104.18.13.149,443,tls,ws,2.6407241821289062,0.0,FAILED,Latency test failed
1391,188.114.97.6,2096,tls,ws,2.640962600708008,0.0,FAILED,Latency test failed
1392,162.159.253.41,8443,tls,ws,2.641439437866211,0.0,FAILED,Latency test failed
1393,162.159.253.41,2087,tls,ws,2.6433467864990234,0.0,FAILED,Latency test failed
1394,172.65.127.148,25565,none,tcp,2.643585205078125,0.0,FAILED,Latency test failed
